Pozo,Fecha,Salinidad
SITIO_GDE_6D,03/08/1992,137000
SITIO_GDE_6D,09/08/1992,140000
SITIO_GDE_6D,12/08/1992,146000
SITIO_GDE_6D,18/08/1992,156000
SITIO_GDE_6D,24/08/1992,72000
SITIO_GDE_6D,02/09/1992,
SITIO_GDE_6D,14/09/1992,125000
SITIO_GDE_6D,21/09/1992,139000
SITIO_GDE_6D,27/09/1992,139000
SITIO_GDE_6D,12/10/1992,
SITIO_GDE_6D,26/10/1992,136000
SITIO_GDE_6D,02/11/1992,144000
SITIO_GDE_6D,09/11/1992,179000
SITIO_GDE_6D,23/11/1992,132000
SITIO_GDE_6D,30/11/1992,130000
SITIO_GDE_6D,12/12/1992,127000
SITIO_GDE_6D,15/12/1992,125000
SITIO_GDE_6D,22/02/1993,142000
SITIO_GDE_6D,04/01/1995,158000
SITIO_GDE_6D,09/01/1995,165000
SITIO_GDE_6D,18/01/1995,152000
SITIO_GDE_6D,25/01/1995,134000
SITIO_GDE_6D,31/01/1995,120000
SITIO_GDE_6D,06/02/1995,125000
SITIO_GDE_6D,09/03/1995,120000
SITIO_GDE_6D,13/03/1995,177000
SITIO_GDE_6D,24/03/1995,126000
SITIO_GDE_6D,28/03/1995,122000
SITIO_GDE_6D,06/04/1995,119000
SITIO_GDE_6D,10/04/1995,113000
SITIO_GDE_6D,17/04/1995,138000
SITIO_GDE_6D,26/04/1995,147000
SITIO_GDE_6D,04/05/1995,110000
SITIO_GDE_6D,17/05/1995,152000
SITIO_GDE_6D,26/05/1995,160000
SITIO_GDE_6D,04/06/1995,
SITIO_GDE_6D,05/06/1995,139000
SITIO_GDE_6D,06/06/1995,90000
SITIO_GDE_6D,07/06/1995,87000
SITIO_GDE_6D,08/06/1995,85000
SITIO_GDE_6D,09/06/1995,
SITIO_GDE_6D,10/06/1995,
SITIO_GDE_6D,13/06/1995,
SITIO_GDE_6D,15/06/1995,
SITIO_GDE_6D,26/06/1995,141000
SITIO_GDE_6D,27/06/1995,120000
SITIO_GDE_6D,18/07/1995,138000
SITIO_GDE_6D,24/08/1995,145000
